Genus	S01	S02	S03	S04	S05	S07	S08	S09	S10	S11	S12	S14	S15	S17	S18	S20	S21	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S34	S35	S37	S38	S40	S41	S42	S43	S44	S45	S46	S47	S49	S50	S51	S52	S53	S54	S55
Gladiolithus	0.18473361412842682	0.23645902608438632	0.15517623586787851	0	0	0.06650410108623366	0.19951230325870095	0.38424591738712777	0.09606147934678194	0	0	0	0.05911475652109658	0.05911475652109658	0	0	0	0	0	0	0.06650410108623366	0	0	0	0	0	0	0	0	0.022168033695411215	0	0	0	0	0.022168033695411215	0	0	0.02955737826054829	0	0	0	0.014778689130274145	0	0	0	0.022168033695411215
Haptolina	1.1157910293356978	0.7463238010788443	0.9753934825980936	1.0492869282494643	1.226631197812754	1.2414098869430281	0.7832705239045297	0.45075001847336144	0.7758811793393926	0.6207049434715141	0.2955737826054829	0.9606147934678194	0.709377078253159	0.8941106923815858	0.509864774994458	0.2955737826054829	0.487732781554833	0.09606147934678194	0.25125628140703515	0.5468114978201433	0.25862705977979755	0.49508608586418384	0.6207049434715141	0.724155767383433	0.7463238010788442	0.9088893815118599	0.5689795315155546	0.2660557238932821	0.30303030303030304	0.6724303554274735	0.4950860858641838	0.31035247173575703	0.31774181630089415	0.36946722825685363	0.45075001847336144	0.40641395108253897	0.3990246065174019	0.4285819847779502	1.0939463374972282	1.115791029335698	0.48037839036287044	0.8423852804256262	0.5320328086898692	0.2660164043449346	0.2438483706495234	0.38424591738712777
Oolithus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02955956251847473	0	0.09606147934678194	0	0.022168033695411215	0	0	0	0	0.059123494198507126	0	0.07389344565137072	0.0812827902165078	0	0	0	0.07389344565137072	0.10345082391191901	0	0	0	0	0.07390436774813391	0.07389344565137072	0	0.06650410108623366	0.0812827902165078	0
Pavlomulina	2.6232173206236604	1.839946796719131	2.881844380403458	2.8892337249685953	1.8842828641099534	2.8670656912731842	1.6108771151998817	1.3300820217246732	1.3522500554200843	0.9606147934678195	1.3374713662898101	1.5074262912879628	1.5000369467228258	2.105963201064066	1.2635779206384394	1.0936229956402868	0.628140703517588	0.6354836326017882	0.4360035471475022	1.0936229956402868	1.123180373900835	1.7217172836769379	0.48030739673390976	0.5911475652109658	1.4630902238971404	2.4828197738860567	1.7217172836769379	1.0420515852486882	0.2586844050258684	2.238971403236533	1.1749057858567944	0.7684918347742555	1.2561885760733023	1.0862336510751498	0.8128279021650778	1.3965861228109067	1.0566762728146013	0.3990246065174019	0.3769679946780989	0.35468853912657944	0.5986253787598846	0.5542008423852804	0.4507500184733614	1.0049508608586417	0.9606147934678195	0.9680041380329565
Pavlova	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014778689130274145	0	0	0.0073893445651370725	0	0	0	0.0073893445651370725	0	0	0	0	0	0	0	0	0	0	0	0.0073893445651370725
Phaeocystis	8.357348703170029	10.707160274883618	8.748983965122294	10.943619300968004	11.446094731397325	8.534692972733318	12.857459543338507	10.278578290105667	9.428803665114904	12.059410330303702	11.955959506391784	8.845045444469076	8.911549545555308	9.91650040641395	15.458508830266755	18.990615532402273	23.44073307715046	30.880070937707828	29.175288205734557	13.648119411808173	16.914209709598758	16.130939185694228	29.749501219241854	14.571787482450308	14.645680928101678	14.180152220498043	22.02763614867361	37.040869115364714	36.622320768662235	40.19064508978054	29.239636444247395	30.769230769230766	27.015443730141136	27.274070789920934	28.663267568166706	30.045075001847337	29.830784009458363	40.670952486514445	37.51940276443196	39.414763910441145	44.571724188899566	40.70050986477499	36.592034286558786	40.8409074115126	43.44195669844085	33.40722677898471
Prymnesium	22.23453779649745	15.894480159609843	16.360008867213477	11.032291435749649	10.138180743368064	22.020246804108474	16.448681001995123	19.699992610655435	25.707529742111873	14.180152220498043	12.059410330303702	16.862484297642798	15.768861302002511	13.795906303110915	5.822803517328013	4.610951008645533	3.8353532367720957	2.6010492869282493	3.3180608926987882	8.460799527081948	8.73420527599202	9.414024975984631	2.0911845119337915	15.199881770486959	17.076775290031776	12.325426734648637	7.803147860784748	2.9340033996009165	2.313377679231338	3.28086898692086	4.145422301041897	4.182369023867583	4.8917461021207425	4.995196926032661	4.803073967339097	4.426217394517106	4.005024754304293	2.172467302150299	3.59228324340306	2.5936599423631126	4.678146478456877	3.1995861967043524	3.546885391265795	3.5986108032217543	3.2217542303997635	3.9311313086529225
Scyphosphaera	0.4285819847779502	0.31035247173575703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19213715637008574	0.08867213478164486	0.25125628140703515	0.22168033695411216	0	0.30296312717061996	0.19951230325870095	0	0	0	0.22906968151924925	0.22171310324440174	0.13303769401330376	0.22168033695411216	0	0	0	0	0	0	0.19212295869356388	0	0.19957129130017	0	0.1773704825955214	0.11822951304219316	0.1625655804330156	0.2438483706495234	0.2881844380403458	0
Syracosphaera	0.8054385575999409	1.0566762728146013	1.3744180891154953	1.7956107293283086	2.0099017217172834	1.6256558043301559	1.529594324983374	1.7069385945466637	1.2709672652035764	1.344860710854947	1.7882213847631714	1.4630902238971402	1.9064508978053647	1.7364959728072118	2.3867582945392742	2.778393556491539	2.8229382205143363	2.874455035838321	2.165237954478274	2.3202541934530405	1.7512746619374862	1.5517623586787852	2.3054755043227666	2.0099017217172834	1.7882213847631714	1.5960984260696076	1.6921599054163896	2.5201389402113663	2.6681448632668148	2.9261804477942808	2.615827976058524	1.8695041749796792	2.024680410847558	2.2168033695411213	2.8079509347520877	2.4828197738860562	2.527155841276879	3.081356683662159	4.375785349988913	3.7537870390896333	3.8282462493533367	3.672504248873125	4.285819847779502	3.051799305401611	2.637996009753935	2.67494273257962
Umbilicosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022169671888856046	0.04433606739082243	0	0.03694672282568536	0	0.0073893445651370725	0.41380329564767604	0.03694672282568536	0.09606147934678194	0.04433606739082243	0.1330082021724673	0.1995417929199616	0.08869179600886917	0.31035247173575703	0.051725411955959505	0.11084016847705608	0.08867213478164486	0.051725411955959505	0	0	0.06650410108623366	0.0812827902165078	0.14783058614827407	0.0812827902165078	0.11824698839701425	0.17734426956328972	0.09606147934678194	0.11822951304219316	0.1330082021724673	0.23645902608438632
Unclassified	9.99778319663046	8.143057710781054	7.840094583610433	7.034656026010493	6.037094509716988	9.768713515111209	9.221902017291066	8.106110987955368	8.85982413359935	5.763688760806916	3.2291435749649007	6.280942880366512	5.874528929283972	5.726742037981231	3.140471440183256	2.046848444542969	2.046999704404375	1.9803443434567354	1.8844221105527639	4.271041158649227	3.569053424961206	3.8129017956107294	1.418754156506318	4.537057562994162	4.1602009901721715	4.677455109731767	3.2217542303997635	1.758923952405587	1.5447154471544715	2.017291066282421	2.4902091184511934	2.2906968151924922	2.4015369836695486	2.445873051060371	2.4680410847557823	2.4163156727998225	2.431094361930097	1.5074262912879628	2.490945376598418	1.7438853173723492	1.3672308033404774	1.839946796719131	2.0616271336732432	2.0468484445429693	2.0172910662824206	2.24636074780167
