Lat	Long	Speed	Temp	Sal	Chla
30.86221333	128.46775	14.9	25.403	34.668	0.93
30.85874833	128.4650967	14.8	25.366	34.656	0.97
30.85531667	128.4624467	14.8	25.32	34.627	1.12
30.85185833	128.4597883	14.8	25.258	34.615	1.14
30.84839333	128.4571617	14.9	25.221	34.612	1.16
30.844905	128.4545133	14.9	25.189	34.601	1.19
30.8414	128.45186	14.9	25.168	34.596	1.22
30.83789833	128.4492083	15	25.152	34.602	1.28
30.83437833	128.4465883	15	25.13	34.585	1.25
30.83086	128.4439283	15	25.115	34.575	1.32
30.827325	128.4412833	15	25.083	34.553	1.32
30.82378667	128.43867	15.1	25.061	34.547	1.25
30.82026167	128.4360367	14.9	25.038	34.543	1.32
30.81678167	128.4333733	15	25.01	34.527	1.29
30.81327833	128.4307267	15	24.985	34.504	1.34
30.80977833	128.4280683	15	24.962	34.501	1.3
30.80627833	128.4253983	15	24.919	34.477	1.33
30.80276667	128.4227483	15	24.877	34.47	1.31
30.79929	128.42005	15	24.857	34.471	1.35
30.79579	128.417385	15	24.838	34.462	1.37
30.79227	128.4147417	15	24.815	34.46	1.4
30.78878833	128.4120933	15	24.801	34.458	1.39
30.78526333	128.4094683	14.9	24.792	34.455	1.37
30.78176167	128.4068083	14.9	24.78	34.445	1.45
30.77825833	128.404175	15	24.762	34.442	1.42
30.77473167	128.401595	15	24.743	34.433	1.39
30.77121	128.398965	15	24.723	34.422	1.5
30.76768667	128.3963483	15	24.686	34.403	1.4
30.76417333	128.3937117	15	24.668	34.396	1.45
30.760655	128.3910867	15	24.654	34.394	1.49
30.75713	128.3884833	15	24.645	34.401	1.49
30.75363	128.38586	14.9	24.659	34.425	1.4
30.75014333	128.3832183	14.9	24.698	34.464	1.3
30.74669333	128.3805183	14.9	24.758	34.509	1.22
30.74326833	128.3778183	14.8	24.825	34.54	1.16
30.73985333	128.37512	14.8	24.894	34.569	1.16
30.73644333	128.3724	14.8	24.946	34.593	1.14
30.73302	128.3696967	14.8	24.993	34.602	1.17
30.7296	128.3669983	14.8	25.017	34.607	1.15
30.72617167	128.36431	14.8	25.063	34.617	1.16
30.72275333	128.3616133	14.8	25.069	34.622	1.16
30.719335	128.35891	14.8	25.099	34.629	1.2
30.71593333	128.35618	14.8	25.11	34.621	1.15
30.71253833	128.3534683	14.8	25.115	34.613	1.21
30.70914	128.3507317	14.8	25.119	34.614	1.19
30.70574167	128.3480017	14.8	25.117	34.61	1.22
30.70233833	128.3452833	14.8	25.125	34.613	1.19
30.69895667	128.3425517	14.7	25.127	34.618	1.18
30.69558167	128.3398233	14.7	25.142	34.632	1.1
30.69221167	128.3370883	14.7	25.161	34.64	1.11
30.68883833	128.334355	14.7	25.17	34.64	1.06
30.68548667	128.331605	14.7	25.179	34.646	1.03
30.68213333	128.3288517	14.7	25.186	34.631	1.03
30.67879	128.3261067	14.7	25.183	34.627	1
30.67546	128.323345	14.6	25.189	34.627	0.97
30.67215833	128.32058	14.6	25.181	34.621	0.98
30.66886167	128.3178283	14.6	25.183	34.624	0.97
30.66557667	128.3150067	14.7	25.182	34.618	0.99
30.66222333	128.3123167	14.6	25.177	34.612	0.98
30.65887333	128.309615	14.6	25.173	34.611	0.96
30.65552333	128.3069383	14.6	25.172	34.616	1
