Lat	Long	Speed	Temp	Sal	Sig-t	Ssp	Chla	N_N	SRP	DIN_SPR
23.39839167	121.9990583	0.6	27.558	34.283	22.021	1539.2	0.04	26.25508664	8.665308169	3.047186437
23.398675	121.998955	1.2	27.554	34.283	22.022	1539.2	0.04	26.42928729	9.400111509	2.819819629
23.39885	121.9988683	0.5	27.552	34.282	22.022	1539.19	0.04	27.32826708	9.8706125	2.774215357
23.39895667	121.9987133	0.6	27.535	34.295	22.037	1539.17	0.04	27.2677134	8.89160192	3.070111462
23.39903	121.998555	0.6	27.52	34.298	22.044	1539.14	0.02	27.35500023	9.063621149	3.025671463
23.39912833	121.9984117	0.5	27.516	34.296	22.045	1539.13	0.06	27.41903544	8.689600029	3.178930188
23.39921	121.9983067	0.4	27.536	34.298	22.039	1539.18	0.05	27.50570058	9.070431951	3.036288733
23.39929333	121.998195	0.4	27.562	34.281	22.019	1539.21	0.04	27.50843606	8.390595024	3.286740431
23.399385	121.998065	0.5	27.601	34.288	22.01	1539.31	0.04	27.74232002	8.914371619	3.122393978
23.39946333	121.9979217	0.5	27.637	34.282	21.995	1539.38	0.03	27.47275042	8.710002164	3.160575473
23.39956167	121.997785	0.5	27.646	34.284	21.993	1539.4	0.05	27.34281489	8.861126285	3.09164006
23.39969333	121.997615	0.7	27.653	34.282	21.989	1539.41	0.04	27.10868225	8.308874053	3.266787104
23.399805	121.99743	0.6	27.667	34.283	21.986	1539.45	0.04	27.338836	8.2574125	3.322240811
23.39989167	121.997245	0.6	27.671	34.289	21.989	1539.46	0.04	27.43134513	8.457245746	3.246070585
23.39996667	121.9971	0.4	27.661	34.293	21.995	1539.45	0.03	27.57769357	8.375340991	3.315142376
23.400035	121.99702	0.3	27.644	34.285	21.995	1539.4	0.04	27.75152119	9.830402824	2.825838398
23.40011333	121.9969083	0.4	27.629	34.291	22.004	1539.37	0.05	27.1281415	7.688759208	3.539767628
27.99447667	127.6752017	4.1	26.919	34.867	22.665	NA	0.13	39.88492856	10.4199557	3.834069982
27.99365667	127.67607	3.9	26.932	34.872	22.664	NA	0.16	40.05187117	10.30097244	3.903697657
27.99290667	127.6769	3.6	26.934	34.865	22.658	NA	0.15	39.91922205	9.919101542	4.034273326
27.99219333	127.6776867	3.5	26.939	34.869	22.66	NA	0.15	40.56472556	10.25888003	3.966742734
27.99146167	127.678415	3.5	26.948	34.867	22.656	NA	0.14	40.27192107	9.696938685	4.166077527
27.99073	127.6791917	3.6	26.948	34.869	22.657	NA	0.13	40.26322862	9.372659933	4.314039972
27.98998833	127.67998	3.6	26.949	34.867	22.655	NA	0.14	40.29692674	9.605155945	4.214713363
27.98924833	127.6807267	3.6	26.943	34.867	22.657	NA	0.17	40.1685643	9.435722577	4.261345538
27.98852	127.681515	3.5	26.941	34.878	22.666	NA	0.12	40.09330914	9.177241715	4.387772748
27.98781	127.6822633	3.5	26.933	34.868	22.661	NA	0.14	40.11652869	9.673993	4.158167374
27.98709167	127.683005	3.5	26.931	34.876	22.668	NA	0.14	40.38849512	9.905273348	4.085092485
27.98639	127.683745	3.5	26.914	34.864	22.664	NA	0.13	40.64438648	9.225716374	4.428240124
27.985685	127.6845183	3.5	26.903	34.869	22.671	NA	0.13	40.67498866	9.480246323	4.30839846
27.98498	127.68528	3.5	26.885	34.851	22.664	NA	0.15	40.73905081	10.20463096	3.999116938
27.98429833	127.6861133	3.6	26.879	34.854	22.668	NA	0.15	40.87431957	9.966056619	4.104690426
27.98367	127.68699	3.5	26.862	34.861	22.678	NA	0.16	41.05864709	9.78325093	4.215936481
27.98305	127.6878367	3.5	26.847	34.853	22.677	NA	0.16	41.48612497	9.452286018	4.393151528
27.982395	127.6886333	3.4	26.842	34.849	22.676	NA	0.14	41.37562372	9.899954811	4.196575662
27.98174833	127.689415	3.3	26.828	34.851	22.682	NA	0.16	42.7795135	10.21070929	4.222675885
27.98113833	127.690195	3.3	26.807	34.854	22.691	NA	0.17	44.48466205	10.57814416	4.218359759
27.98050833	127.6909933	3.4	26.78	34.832	22.683	NA	0.21	44.90189952	10.65488304	4.22364296
27.97986667	127.6917567	3.3	26.75	34.815	22.68	NA	0.27	44.69780562	10.71429869	4.179456678
27.97925167	127.6925483	3.3	26.718	34.813	22.688	NA	0.28	45.15100363	9.970919281	4.539584287
27.978605	127.693315	3.4	26.68	34.789	22.682	NA	0.26	45.16874575	10.36160376	4.362932488
27.97797333	127.694095	3.4	26.664	34.789	22.687	NA	0.28	45.09420504	10.19748892	4.441450732
27.97734333	127.6948767	3.3	26.638	34.778	22.687	NA	0.3	44.59123384	10.80076289	4.148454898
27.976735	127.6956683	3.3	26.631	34.787	22.696	NA	0.27	43.71365389	10.38804448	4.223820512
27.97618333	127.696385	2.8	26.62	34.784	22.697	NA	0.26	43.36726582	10.43317606	4.166473479
27.97573	127.6969967	2.5	26.604	34.773	22.694	NA	0.28	42.96407916	10.25416932	4.210105893
27.97531167	127.6975133	2.2	26.606	34.786	22.703	NA	0.27	42.83881266	9.971527113	4.300491119
27.97494	127.6980067	2	26.6	34.793	22.71	NA	0.27	42.78475278	10.25432128	4.194149692
27.97450333	127.6986167	2.6	26.614	34.797	22.709	NA	0.24	43.09375142	10.52328726	4.104290279
27.97375833	127.6989883	3.1	26.615	34.805	22.715	NA	0.25	43.28034135	11.22442229	3.856508684
27.97293333	127.69856	3.4	26.613	34.829	22.733	NA	0.24	43.08112951	10.50125332	4.123770519
27.97268833	127.6973517	4	26.624	34.819	22.723	NA	0.23	43.73818326	10.71490652	4.092858524
27.97335833	127.6961817	4.6	26.621	34.815	22.72	NA	0.23	43.82272624	10.8436151	4.056150492
27.97448167	127.6950583	5.6	26.619	34.824	22.728	NA	0.26	44.00657746	10.76019006	4.092340986
27.97579	127.6937317	6.5	26.623	34.82	22.724	NA	0.25	44.27663869	10.87446261	4.085976682
27.97718	127.6921667	7.2	26.632	34.823	22.723	NA	0.26	43.54361533	11.48411882	3.812997068
27.97867	127.6904467	7.7	26.638	34.831	22.727	NA	0.25	42.83595487	11.21925572	3.82744677
27.98022833	127.6886733	8	26.632	34.825	22.724	NA	0.28	41.78309707	11.07064062	3.782544291
27.98186333	127.6869117	8.1	26.632	34.831	22.729	NA	0.25	39.99852574	10.48544967	3.843653568
27.98350167	127.68512	8.2	26.623	34.823	22.726	NA	0.26	40.00209798	10.34215311	3.88212873
27.98503333	127.683245	8	26.601	34.813	22.725	NA	0.26	40.5537707	10.26100744	3.97191994
27.98656167	127.6813983	8	26.577	34.813	22.733	NA	0.26	41.28441257	10.37801524	3.991610661
27.988145	127.6796117	7.9	26.561	34.801	22.728	NA	0.25	41.66283171	10.38485336	4.029219355
27.98970833	127.6778683	7.8	26.537	34.794	22.731	NA	0.28	41.1711726	9.863788765	4.220690775
27.99125667	127.6761483	7.7	26.526	34.798	22.738	NA	0.32	40.64938762	9.613665603	4.235322716
27.99283	127.674445	7.8	26.532	34.806	22.741	NA	0.27	40.20821615	9.392110579	4.31742822
27.99440667	127.67272	7.9	26.566	34.828	22.747	NA	0.22	40.29406895	8.843845472	4.57091623
27.99600833	127.67105	7.7	26.586	34.827	22.74	NA	0.22	40.75453051	9.395301701	4.350785578
27.997615	127.6693967	7.8	26.62	34.84	22.74	NA	0.19	40.93338059	9.589504253	4.277520014
27.99924167	127.66773	7.8	26.682	34.849	22.726	NA	0.17	40.97898616	9.293337764	4.436001797
28.00086667	127.66606	7.9	26.716	34.847	22.714	NA	0.16	41.2035609	10.17135212	4.056417902
28.00250833	127.66438	7.9	26.775	34.86	22.706	NA	0.15	41.26357451	9.69405148	4.259850602
28.00414	127.66271	7.8	26.817	34.861	22.693	NA	0.14	41.63794511	9.078620858	4.588814464
28.005785	127.6610383	7.9	26.846	34.857	22.68	NA	0.14	41.48743479	9.872298423	4.207982479
28.007425	127.6593767	7.9	26.885	34.867	22.676	NA	0.15	41.62091744	9.531608187	4.382112289
28.00908167	127.6577017	7.9	26.917	34.864	22.663	NA	0.15	41.85204128	9.39955653	4.472391285
28.01074667	127.6560267	8	26.944	34.861	22.652	NA	0.16	41.96182808	10.10935318	4.162467295
28.0124	127.6543333	7.9	26.971	34.872	22.652	NA	0.16	42.27868564	9.891597111	4.284858433
28.01408	127.6526583	8	26.983	34.871	22.647	NA	0.13	42.26749263	9.757569998	4.334275107
28.01574833	127.650965	8	27.003	34.87	22.64	NA	0.16	42.1517521	9.621263512	4.38969944
28.01742833	127.6493017	8	27.016	34.872	22.638	NA	0.16	42.1353198	9.648615984	4.375069194
28.01910667	127.6476233	7.9	27.033	34.864	22.627	NA	0.14	42.12067362	9.221765462	4.577681946
28.02078667	127.645955	8	27.034	34.855	22.619	NA	0.14	42.39049671	9.518083909	4.465980507
28.02245333	127.6442767	7.9	27.055	34.866	22.621	NA	0.14	42.65710479	9.12010544	4.690898737
28.02413	127.6426067	8	27.063	34.856	22.611	NA	0.18	42.97586754	9.904361598	4.355207745
28.02580833	127.6409267	8	27.071	34.863	22.613	NA	0.15	42.86965298	10.29033537	4.171012692
28.027475	127.6392767	7.9	27.075	34.864	22.613	NA	0.15	42.77546496	9.80163787	4.385345261
28.02913667	127.6376267	7.9	27.091	34.87	22.613	NA	0.16	42.44943865	9.928674907	4.277384052
28.030815	127.6359733	7.9	27.094	34.869	22.61	NA	0.17	42.43634044	9.74237418	4.367065018
28.03249333	127.6342817	8	27.1	34.872	22.611	NA	0.17	42.62352574	9.774741272	4.378259862
28.03417667	127.6326133	8	27.103	34.853	22.596	NA	0.18	42.64019619	10.10646598	4.22528013
28.03588833	127.6309367	8.1	27.104	34.858	22.599	NA	0.16	42.53421978	10.42025961	4.098342926
28.03759333	127.6292533	8.1	27.111	34.862	22.6	NA	0.16	41.99945566	9.747236842	4.313069446
28.03928667	127.6275683	8	27.106	34.862	22.601	NA	0.16	41.75916308	10.18685185	4.107849556
28.04100667	127.6259167	8	27.092	34.856	22.601	NA	0.17	41.91729417	9.764560074	4.306443821
28.04271167	127.624245	8	27.1	34.876	22.614	NA	0.19	41.82346337	9.664723551	4.348608814
28.04443	127.62258	8.1	27.093	34.857	22.602	NA	0.17	41.58841007	9.32448919	4.480815674
28.04613333	127.6208883	8.1	27.093	34.873	22.614	NA	0.15	41.4864822	9.919861333	4.195525706
28.04787833	127.6192383	8.1	27.092	34.859	22.604	NA	0.19	41.64604219	9.624302676	4.341862089
28.0496	127.6175567	8.1	27.082	34.861	22.608	NA	0.2	41.95873214	9.957546961	4.217154639
28.05132333	127.6158883	8.1	27.074	34.87	22.618	NA	0.18	41.69379111	9.724443115	4.30596717
28.05303667	127.6142217	8	27.069	34.852	22.606	NA	0.19	41.48731572	9.193349282	4.527085113
28.05474333	127.6125433	8.1	27.069	34.871	22.62	NA	0.16	41.55602177	9.67733608	4.318068115
28.05645667	127.61088	8	27.062	34.853	22.609	NA	0.18	41.73177591	9.702561138	4.326504915
