Accession_no	Family	Genus	Species	Clone_or_strain_name	Clone_and_organism
HQ877920	Isochrysidaceae	Tisochrysis	Tisochrysis_sp	KMMCC_H22	HQ877920|Tisochrysis_sp(KMMCC_H22)
DQ071572	Isochrysidaceae	Tisochrysis	Tisochrysis_sp	strain_3011	DQ071572|Tisochrysis_sp(strain_3011)
GQ118682	Isochrysidaceae	Tisochrysis	Tisochrysis_sp	China_DBa	GQ118682|Tisochrysis_sp(China_DBa)
JF489947	Isochrysidaceae	Tisochrysis	Tisochrysis_sp	IgalbanaVI	JF489947|Tisochrysis_sp(IgalbanaVI)
DQ071574	Isochrysidaceae	Tisochrysis	Tisochrysis_sp	santou_2	DQ071574|Tisochrysis_sp(santou_2)
EU924188	Isochrysidaceae	Tisochrysis	Tisochrysis_sp	strain318	EU924188|Tisochrysis_sp(strain318)
KC594686	Isochrysidaceae	Tisochrysis	Tisochrysis_sp	SW2	KC594686|Tisochrysis_sp(SW2)
EU106827	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1001	EU106827|Emiliania_huxleyi(RCC1001)
EU106763	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC911	EU106763|Emiliania_huxleyi(RCC911)
EU106795	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC951	EU106795|Emiliania_huxleyi(RCC951)
EU106793	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC948	EU106793|Emiliania_huxleyi(RCC948)
EU106764	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC912	EU106764|Emiliania_huxleyi(RCC912)
EU106766	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC914	EU106766|Emiliania_huxleyi(RCC914)
HQ877901	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	KMMCC_H18	HQ877901|Emiliania_huxleyi(KMMCC_H18)
AF184167	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	Texel_B	AF184167|Emiliania_huxleyi(Texel_B)
L04957	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	Gulf_of_Maine	L04957|Emiliania_huxleyi(Gulf_of_Maine)
M87327	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi		M87327|Emiliania_huxleyi()
KC404120	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1208	KC404120|Emiliania_huxleyi(RCC1208)
KC404121	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1210	KC404121|Emiliania_huxleyi(RCC1210)
KC404122	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1213	KC404122|Emiliania_huxleyi(RCC1213)
KC404123	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1214	KC404123|Emiliania_huxleyi(RCC1214)
KC404124	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1218	KC404124|Emiliania_huxleyi(RCC1218)
KC404125	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1219	KC404125|Emiliania_huxleyi(RCC1219)
KC404126	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1221	KC404126|Emiliania_huxleyi(RCC1221)
KC404127	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1225	KC404127|Emiliania_huxleyi(RCC1225)
KC404128	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1227	KC404128|Emiliania_huxleyi(RCC1227)
KC404129	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1228	KC404129|Emiliania_huxleyi(RCC1228)
KC404130	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1229	KC404130|Emiliania_huxleyi(RCC1229)
KC404131	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1245	KC404131|Emiliania_huxleyi(RCC1245)
KC404132	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1246	KC404132|Emiliania_huxleyi(RCC1246)
KC404133	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1247	KC404133|Emiliania_huxleyi(RCC1247)
KC404134	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1249	KC404134|Emiliania_huxleyi(RCC1249)
KC404135	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1250	KC404135|Emiliania_huxleyi(RCC1250)
KC404136	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1251	KC404136|Emiliania_huxleyi(RCC1251)
KC404137	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1254	KC404137|Emiliania_huxleyi(RCC1254)
KC404138	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1257	KC404138|Emiliania_huxleyi(RCC1257)
KC404139	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1258	KC404139|Emiliania_huxleyi(RCC1258)
KC404140	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	RCC1322	KC404140|Emiliania_huxleyi(RCC1322)
KC404141	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	ESP7414	KC404141|Emiliania_huxleyi(ESP7414)
AB183618	Noelaerhabdaceae	Emiliania	Emiliania_huxleyi	MBIC10582	AB183618|Emiliania_huxleyi(MBIC10582)
KP282837	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_muellerae	strain_RCC3898_	KP282837|Gephyrocapsa_muellerae(strain_RCC3898_)
KP282838	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_muellerae	strain_RCC3370	KP282838|Gephyrocapsa_muellerae(strain_RCC3370)
KP282839	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_muellerae	strain_RCC3862	KP282839|Gephyrocapsa_muellerae(strain_RCC3862)
AJ246276	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	PLY_GO1	AJ246276|Gephyrocapsa_oceanica(PLY_GO1)
KC404143	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1279	KC404143|Gephyrocapsa_oceanica(RCC1279)
KC404147	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1286	KC404147|Gephyrocapsa_oceanica(RCC1286)
AB058360	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	MBIC10537	AB058360|Gephyrocapsa_oceanica(MBIC10537)
AB183665	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	MBIC11100	AB183665|Gephyrocapsa_oceanica(MBIC11100)
KC404142	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1223	KC404142|Gephyrocapsa_oceanica(RCC1223)
KC404144	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1281	KC404144|Gephyrocapsa_oceanica(RCC1281)
KC404145	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1282	KC404145|Gephyrocapsa_oceanica(RCC1282)
KC404146	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1284	KC404146|Gephyrocapsa_oceanica(RCC1284)
KC404148	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1287	KC404148|Gephyrocapsa_oceanica(RCC1287)
KC404149	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1289	KC404149|Gephyrocapsa_oceanica(RCC1289)
KC404150	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1296	KC404150|Gephyrocapsa_oceanica(RCC1296)
KC404151	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1305	KC404151|Gephyrocapsa_oceanica(RCC1305)
KC404152	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1306	KC404152|Gephyrocapsa_oceanica(RCC1306)
KC404153	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1307	KC404153|Gephyrocapsa_oceanica(RCC1307)
KC404154	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1308	KC404154|Gephyrocapsa_oceanica(RCC1308)
KC404155	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1316	KC404155|Gephyrocapsa_oceanica(RCC1316)
KC404156	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	RCC1318	KC404156|Gephyrocapsa_oceanica(RCC1318)
KC404157	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	MM4_6	KC404157|Gephyrocapsa_oceanica(MM4_6)
KC404158	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	MT3_6	KC404158|Gephyrocapsa_oceanica(MT3_6)
KC404159	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_oceanica	PR3F3	KC404159|Gephyrocapsa_oceanica(PR3F3)
AB183613	Noelaerhabdaceae	Gephyrocapsa	Gephyrocapsa_sp	MBIC10535	AB183613|Gephyrocapsa_sp(MBIC10535)
U40924	Noelaerhabdaceae	Noelaerhabdaceae	Noelaerhabdaceae	CCMP_625	U40924|Noelaerhabdaceae(CCMP_625)
EF432545	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	W5_1	EF432545|Phaeocystis_antarctica(W5_1)
KF925339	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	NCMA:CCMP1374	KF925339|Phaeocystis_antarctica(NCMA:CCMP1374)
EF432535	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	W6_4	EF432535|Phaeocystis_antarctica(W6_4)
X77477	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	CCMP_1374	X77477|Phaeocystis_antarctica(CCMP_1374)
EF432517	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	#8	EF432517|Phaeocystis_antarctica(#8)
EF432520	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	#8	EF432520|Phaeocystis_antarctica(#8)
JN381493	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	MM_E1B6	JN381493|Phaeocystis_antarctica(MM_E1B6)
JN381494	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	MM_E4B4	JN381494|Phaeocystis_antarctica(MM_E4B4)
JN381495	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	MM_E2C1	JN381495|Phaeocystis_antarctica(MM_E2C1)
X77480	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	SK22	X77480|Phaeocystis_antarctica(SK22)
X77481	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	SK23	X77481|Phaeocystis_antarctica(SK23)
X77478	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	SK20	X77478|Phaeocystis_antarctica(SK20)
X77479	Phaeocystaceae	Phaeocystis	Phaeocystis_antarctica	SK21	X77479|Phaeocystis_antarctica(SK21)
JX660992	Phaeocystaceae	Phaeocystis	Phaeocystis_cordata	RCC:RCC1383	JX660992|Phaeocystis_cordata(RCC:RCC1383)
AF163147	Phaeocystaceae	Phaeocystis	Phaeocystis_cordata		AF163147|Phaeocystis_cordata()
GQ118982	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	W07_009_01	GQ118982|Phaeocystis_globosa(W07_009_01)
AJ278037	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	CCMP1524	AJ278037|Phaeocystis_globosa(CCMP1524)
JX660994	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	RCC:PCC64	JX660994|Phaeocystis_globosa(RCC:PCC64)
JX660986	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	RCC:K1321	JX660986|Phaeocystis_globosa(RCC:K1321)
JX660987	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	RCC:K1398	JX660987|Phaeocystis_globosa(RCC:K1398)
JX660993	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	RCC:RCC1737	JX660993|Phaeocystis_globosa(RCC:RCC1737)
JX660989	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	RCC:RCC678	JX660989|Phaeocystis_globosa(RCC:RCC678)
JX660991	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	RCC:RCC1000	JX660991|Phaeocystis_globosa(RCC:RCC1000)
EU077556	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	ChinaBOHAI1	EU077556|Phaeocystis_globosa(ChinaBOHAI1)
JX660988	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	RCC:NIES388	JX660988|Phaeocystis_globosa(RCC:NIES388)
EU127475	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	BCZ05	EU127475|Phaeocystis_globosa(BCZ05)
DQ075202	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	Hongkong2	DQ075202|Phaeocystis_globosa(Hongkong2)
GQ118979	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	W07_002_01	GQ118979|Phaeocystis_globosa(W07_002_01)
GQ118980	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	W07_005_01	GQ118980|Phaeocystis_globosa(W07_005_01)
GQ118981	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	W07_026_01	GQ118981|Phaeocystis_globosa(W07_026_01)
EF100712	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	robertsonii	EF100712|Phaeocystis_globosa(robertsonii)
EU024765	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	Bohai	EU024765|Phaeocystis_globosa(Bohai)
AY851300	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	PLY147	AY851300|Phaeocystis_globosa(PLY147)
AY851301	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	BCZ99	AY851301|Phaeocystis_globosa(BCZ99)
AF182109	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	CCMP1524	AF182109|Phaeocystis_globosa(CCMP1524)
AF182110	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	CCMP1528	AF182110|Phaeocystis_globosa(CCMP1528)
AF182111	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	CCMP627	AF182111|Phaeocystis_globosa(CCMP627)
AF182112	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	CCMP628	AF182112|Phaeocystis_globosa(CCMP628)
AF182113	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	P162	AF182113|Phaeocystis_globosa(P162)
AF182115	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	PLY540	AF182115|Phaeocystis_globosa(PLY540)
X77476	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	SK35	X77476|Phaeocystis_globosa(SK35)
AJ278035	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	CCMP627	AJ278035|Phaeocystis_globosa(CCMP627)
AF163148	Phaeocystaceae	Phaeocystis	Phaeocystis_jahnii	B5ZNS	AF163148|Phaeocystis_jahnii(B5ZNS)
AF182114	Phaeocystaceae	Phaeocystis	Phaeocystis_pouchetii	isolateP360	AF182114|Phaeocystis_pouchetii(isolateP360)
X77475	Phaeocystaceae	Phaeocystis	Phaeocystis_pouchetii	SK34	X77475|Phaeocystis_pouchetii(SK34)
AJ278036	Phaeocystaceae	Phaeocystis	Phaeocystis_pouchetii	P361	AJ278036|Phaeocystis_pouchetii(P361)
KF422607	Phaeocystaceae	Phaeocystis	Phaeocystis_rex	CCMP2000	KF422607|Phaeocystis_rex(CCMP2000)
EU106761	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	RCC908	EU106761|Phaeocystis_sp(RCC908)
EU106773	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	RCC925	EU106773|Phaeocystis_sp(RCC925)
EU106820	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	RCC993	EU106820|Phaeocystis_sp(RCC993)
EU106836	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	RCC1033	EU106836|Phaeocystis_sp(RCC1033)
EU106787	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	RCC940	EU106787|Phaeocystis_sp(RCC940)
AJ279499	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	Santou97	AJ279499|Phaeocystis_sp(Santou97)
JX660990	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	RCC:RCC908	JX660990|Phaeocystis_sp(RCC:RCC908)
JX660995	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	RCC:PCC559	JX660995|Phaeocystis_sp(RCC:PCC559)
KF422610	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	CCMP2710	KF422610|Phaeocystis_sp(CCMP2710)
AF180940	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	PLY559	AF180940|Phaeocystis_sp(PLY559)
AM491023	Phaeocystaceae	Phaeocystis	Phaeocystis_sp	PLY_559	AM491023|Phaeocystis_sp(PLY_559)
FN599059	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_acantha	HAP78	FN599059|Chrysochromulina_acantha(HAP78)
AJ246278	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_acantha	UIO024_(T20)	AJ246278|Chrysochromulina_acantha(UIO024_(T20))
AJ246273	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_campanulifera	J10	AJ246273|Chrysochromulina_campanulifera(J10)
AM491018	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_cymbium	UIO_R18	AM491018|Chrysochromulina_cymbium(UIO_R18)
AM491017	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_leadbeateri	UIO035_(ERIK)	AM491017|Chrysochromulina_leadbeateri(UIO035_(ERIK))
EU024987	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_parva	FU44_40	EU024987|Chrysochromulina_parva(FU44_40)
AB601109	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_parva	Kawachi_Japan	AB601109|Chrysochromulina_parva(Kawachi_Japan)
AM491020	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_rotalis	UIO044_(TH2)	AM491020|Chrysochromulina_rotalis(UIO044_(TH2))
AM491025	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_rotalis	UIO_P16	AM491025|Chrysochromulina_rotalis(UIO_P16)
AJ246274	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_scutellum	UIO46_(G7)	AJ246274|Chrysochromulina_scutellum(UIO46_(G7))
AM491021	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_simplex	UIO047_(JomfB)	AM491021|Chrysochromulina_simplex(UIO047_(JomfB))
JX661041	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	Vil64	JX661041|Chrysochromulina_sp(Vil64)
AB180202	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp		AB180202|Chrysochromulina_sp()
DQ980478	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	NIES_1333	DQ980478|Chrysochromulina_sp(NIES_1333)
AB199882	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	MBIC10513	AB199882|Chrysochromulina_sp(MBIC10513)
AF166378	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	prymnesiophyte_symbiont_4_(aeq4)	AF166378|Chrysochromulina_sp(prymnesiophyte_symbiont_4_(aeq4))
AF166377	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	prymnesiophyte_symbiont_1_(aeq1)	AF166377|Chrysochromulina_sp(prymnesiophyte_symbiont_1_(aeq1))
AF166376	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_sp	prymnesiophyte_symbiont_3_(aeq3)	AF166376|Chrysochromulina_sp(prymnesiophyte_symbiont_3_(aeq3))
FN599060	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_strobilus	PCC_43	FN599060|Chrysochromulina_strobilus(PCC_43)
AJ246277	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_throndsenii	L12	AJ246277|Chrysochromulina_throndsenii(L12)
AJ246279	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_throndsenii	UIO049_(K11)	AJ246279|Chrysochromulina_throndsenii(UIO049_(K11))
AM491019	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_tobin	CCMP_291	AM491019|Chrysochromulina_tobin(CCMP_291)
KC888128	Prymnesiaceae	Dicrateria	Dicrateria_inornata	PLY564	KC888128|Dicrateria_inornata(PLY564)
KF899845	Prymnesiaceae	Dicrateria	Dicrateria_rotunda	RCC:918	KF899845|Dicrateria_rotunda(RCC:918)
JN934681	Prymnesiaceae	Dicrateria	Dicrateria_rotunda	RCC2298	JN934681|Dicrateria_rotunda(RCC2298)
AM491014	Prymnesiaceae	Dicrateria	Dicrateria_rotunda	ALGO_HAP23	AM491014|Dicrateria_rotunda(ALGO_HAP23)
AB183605	Prymnesiaceae	Dicrateria	Dicrateria_rotunda	MBIC10497	AB183605|Dicrateria_rotunda(MBIC10497)
AB183606	Prymnesiaceae	Dicrateria	Dicrateria_rotunda	MBIC10500	AB183606|Dicrateria_rotunda(MBIC10500)
AJ246267	Prymnesiaceae	Dicrateria	Dicrateria_rotunda	UIO_101	AJ246267|Dicrateria_rotunda(UIO_101)
AM491015	Prymnesiaceae	Dicrateria	Dicrateria_rotunda	CCMP_1404	AM491015|Dicrateria_rotunda(CCMP_1404)
AM491012	Prymnesiaceae	Haptolina	Haptolina_brevifila	PML_143	AM491012|Haptolina_brevifila(PML_143)
JF794056	Prymnesiaceae	Haptolina	Haptolina_cf_hirta	RCC2300	JF794056|Haptolina_cf_hirta(RCC2300)
JF812342	Prymnesiaceae	Haptolina	Haptolina_cf_hirta	RCC_2300	JF812342|Haptolina_cf_hirta(RCC_2300)
AM491030	Prymnesiaceae	Haptolina	Haptolina_ericina	UIO026_(Q17)	AM491030|Haptolina_ericina(UIO026_(Q17))
AM491013	Prymnesiaceae	Haptolina	Haptolina_fragaria	UIO029_(S19)	AM491013|Haptolina_fragaria(UIO029_(S19))
AM491011	Prymnesiaceae	Haptolina	Haptolina_herdlensis	CCMP_284	AM491011|Haptolina_herdlensis(CCMP_284)
AJ246272	Prymnesiaceae	Haptolina	Haptolina_hirta	UIO030_(1Y)	AJ246272|Haptolina_hirta(UIO030_(1Y))
AJ004868	Prymnesiaceae	Prymnesium	Prymnesium_aff_polylepis	PLY_200	AJ004868|Prymnesium_aff_polylepis(PLY_200)
AM491009	Prymnesiaceae	Prymnesium	Prymnesium_aff_polylepis	PLY_200	AM491009|Prymnesium_aff_polylepis(PLY_200)
AM491007	Prymnesiaceae	Prymnesium	Prymnesium_annuliferum	ALGO_HAP47	AM491007|Prymnesium_annuliferum(ALGO_HAP47)
U40923	Prymnesiaceae	Prymnesium	Prymnesium_calathiferum	CCMP_707	U40923|Prymnesium_calathiferum(CCMP_707)
AM491008	Prymnesiaceae	Prymnesium	Prymnesium_calathiferum	CCMP_707	AM491008|Prymnesium_calathiferum(CCMP_707)
AM491029	Prymnesiaceae	Prymnesium	Prymnesium_chiton	PLY_146A	AM491029|Prymnesium_chiton(PLY_146A)
AM491005	Prymnesiaceae	Prymnesium	Prymnesium_faveolatum	ALGO_HAP79	AM491005|Prymnesium_faveolatum(ALGO_HAP79)
AJ246271	Prymnesiaceae	Prymnesium	Prymnesium_kappa	UIO033_(EN3)	AJ246271|Prymnesium_kappa(UIO033_(EN3))
AM491010	Prymnesiaceae	Prymnesium	Prymnesium_minus	PLY_304	AM491010|Prymnesium_minus(PLY_304)
AJ246268	Prymnesiaceae	Prymnesium	Prymnesium_nemamethecum	SouthAfrica	AJ246268|Prymnesium_nemamethecum(SouthAfrica)
AM491004	Prymnesiaceae	Prymnesium	Prymnesium_nemamethecum	ALGO_HAP53bis	AM491004|Prymnesium_nemamethecum(ALGO_HAP53bis)
AB183265	Prymnesiaceae	Prymnesium	Prymnesium_neolepis	Yoshida	AB183265|Prymnesium_neolepis(Yoshida)
AM779755	Prymnesiaceae	Prymnesium	Prymnesium_palpebrale	UIO_133	AM779755|Prymnesium_palpebrale(UIO_133)
AJ246269	Prymnesiaceae	Prymnesium	Prymnesium_parvum	K081	AJ246269|Prymnesium_parvum(K081)
KJ756812	Prymnesiaceae	Prymnesium	Prymnesium_parvum	CCAP_946_6	KJ756812|Prymnesium_parvum(CCAP_946_6)
L34670	Prymnesiaceae	Prymnesium	Prymnesium_parvum_f_patelliferum	PLY_527	L34670|Prymnesium_parvum_f_patelliferum(PLY_527)
L34671	Prymnesiaceae	Prymnesium	Prymnesium_parvum_f_patelliferum		L34671|Prymnesium_parvum_f_patelliferum()
AM491027	Prymnesiaceae	Prymnesium	Prymnesium_pienaarii	ALGO_HAP50_bis	AM491027|Prymnesium_pienaarii(ALGO_HAP50_bis)
AM491003	Prymnesiaceae	Prymnesium	Prymnesium_pigrum	ALGO_HAP83	AM491003|Prymnesium_pigrum(ALGO_HAP83)
FN551246	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	171_G2	FN551246|Prymnesium_polylepis(171_G2)
AJ004867	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	UIO037_(B1511)	AJ004867|Prymnesium_polylepis(UIO037_(B1511))
FN551238	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	171_B2	FN551238|Prymnesium_polylepis(171_B2)
FN551239	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	171_F1	FN551239|Prymnesium_polylepis(171_F1)
FN551240	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	171_G1	FN551240|Prymnesium_polylepis(171_G1)
FN551241	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	171_C1	FN551241|Prymnesium_polylepis(171_C1)
FN551242	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	171_C2	FN551242|Prymnesium_polylepis(171_C2)
FN551243	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	171_F2	FN551243|Prymnesium_polylepis(171_F2)
FN551244	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	171_E1	FN551244|Prymnesium_polylepis(171_E1)
FN551245	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	171_E2	FN551245|Prymnesium_polylepis(171_E2)
FN551247	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	170_C4	FN551247|Prymnesium_polylepis(170_C4)
FN551248	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	170_A5	FN551248|Prymnesium_polylepis(170_A5)
FN551232	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	170_A3	FN551232|Prymnesium_polylepis(170_A3)
FN551233	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	170_H3	FN551233|Prymnesium_polylepis(170_H3)
FN551234	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	170_H4	FN551234|Prymnesium_polylepis(170_H4)
FN551235	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	170_B5	FN551235|Prymnesium_polylepis(170_B5)
FN551236	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	170_D3	FN551236|Prymnesium_polylepis(170_D3)
FN551237	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	170_E3	FN551237|Prymnesium_polylepis(170_E3)
AJ004866	Prymnesiaceae	Prymnesium	Prymnesium_polylepis	UIO036_(B11)	AJ004866|Prymnesium_polylepis(UIO036_(B11))
FR677016	Prymnesiaceae	Prymnesium	Prymnesium_radiatum	BO18	FR677016|Prymnesium_radiatum(BO18)
AM491028	Prymnesiaceae	Prymnesium	Prymnesium_simplex	ALGO_HAP51bis	AM491028|Prymnesium_simplex(ALGO_HAP51bis)
FJ546708	Prymnesiaceae	Prymnesium	Prymnesium_sp	_GSL011	FJ546708|Prymnesium_sp(_GSL011)
FN551249	Prymnesiaceae	Prymnesium	Prymnesium_sp	170_E4	FN551249|Prymnesium_sp(170_E4)
AM491000	Prymnesiaceae	Prymnesium	Prymnesium_sp	ALGO_HAP_pt	AM491000|Prymnesium_sp(ALGO_HAP_pt)
