Site1	Site2	Dist_Bray	Sim_Bray
2	20	0.4780905933643686	0.5219094066356313
3	20	0.4252567797236385	0.5747432202763615
4	20	0.3445651370723417	0.6554348629276583
5	20	0.3617823099091111	0.6382176900908889
6	20	0.464420305918865	0.535579694081135
7	20	0.4361930096800414	0.5638069903199586
8	20	0.43146382915835363	0.5685361708416463
9	20	0.410404197147713	0.589595802852287
10	20	0.30096800413803293	0.6990319958619671
11	20	0.2278873863888273	0.7721126136111727
12	20	0.28729771669252935	0.7127022833074707
13	20	0.3217320623660681	0.6782679376339319
14	20	0.2481341904973029	0.7518658095026971
15	20	0.3389492352028375	0.6610507647971625
16	20	0.5075001847336141	0.49249981526638587
17	20	0.4820617033068539	0.5179382966931461
18	20	0.550727850439666	0.449272149560334
19	20	0.5408091631258083	0.4591908368741917
1	21	0.5239045296682184	0.47609547033178157
2	21	0.5106776028966231	0.4893223971033769
3	21	0.470996822581837	0.5290031774181629
4	21	0.43552796866917903	0.5644720313308209
5	21	0.4580654695928471	0.5419345304071529
6	21	0.5003325205054312	0.4996674794945688
7	21	0.4783122737013227	0.5216877262986773
8	21	0.4780905933643686	0.5219094066356313
9	21	0.45821325648414984	0.5417867435158501
10	21	0.28131234759476836	0.7186876524052317
11	21	0.3001551762358679	0.6998448237641322
12	21	0.3154511194857016	0.6845488805142984
13	21	0.3235793985073524	0.6764206014926476
14	21	0.2725929210079066	0.7274070789920934
15	21	0.378112761398064	0.6218872386019361
16	21	0.5403088746028227	0.45969112539717727
17	21	0.5324588952521707	0.4675411047478293
18	21	0.579250720461095	0.42074927953890495
19	21	0.57450581932385	0.42549418067614997
20	21	0.2405231655952117	0.7594768344047883
1	22	0.453262395625508	0.546737604374492
2	22	0.43826202615827975	0.5617379738417203
3	22	0.39540382768048477	0.6045961723195152
4	22	0.33407226778984705	0.6659277322101529
5	22	0.35047661272445135	0.6495233872755486
6	22	0.4268824355279687	0.5731175644720313
7	22	0.4070789920934013	0.5929210079065987
8	22	0.40944358235424516	0.5905564176457548
9	22	0.3920047291805217	0.6079952708194782
10	22	0.28027783935564915	0.7197221606443509
11	22	0.23823246878001922	0.7617675312199808
12	22	0.26838099460577847	0.7316190053942215
13	22	0.308948496268381	0.6910515037316189
14	22	0.2383063622256706	0.7616936377743294
15	22	0.3621517771373679	0.6378482228626321
16	22	0.5043966600162566	0.4956033399837434
17	22	0.48294845741732867	0.5170515425826714
18	22	0.5326978497007315	0.46730215029926847
19	22	0.5305375946794754	0.46946240532052463
20	22	0.15392004729180522	0.8460799527081948
21	22	0.22958693563880883	0.7704130643611912
1	23	0.8053646641542895	0.19463533584571047
2	23	0.7867435158501441	0.21325648414985587
3	23	0.7838616714697406	0.21613832853025938
4	23	0.6455331412103746	0.35446685878962536
5	23	0.6130200251237715	0.3869799748762285
6	23	0.7967191310130791	0.20328086898692088
7	23	0.7601418754156506	0.2398581245843494
8	23	0.7677529003177418	0.2322470996822582
9	23	0.7393039237419641	0.2606960762580359
10	23	0.6189315007758812	0.3810684992241188
11	23	0.6102120741890195	0.38978792581098054
12	23	0.6858050690903716	0.31419493090962836
13	23	0.6791546589817483	0.3208453410182517
14	23	0.6640803960688687	0.3359196039311313
15	23	0.46486366659277323	0.5351363334072268
16	23	0.38239858124584347	0.6176014187541565
17	23	0.23591354147422872	0.7640864585257713
18	23	0.21406931205202098	0.785930687947979
19	23	0.21684832809902088	0.7831516719009791
